time_sec,raw_deg
1783235403.1905675,-3.84
1783235403.200469,-3.84
1783235403.2105532,-3.84
1783235403.2206213,-3.84
1783235403.230801,-3.84
1783235403.2406542,-3.84
1783235403.2505317,-3.84
1783235403.2604694,-3.84
1783235403.2704792,-3.84
1783235403.2805347,-3.84
1783235403.290465,-3.84
1783235403.3005917,-3.84
1783235403.3107586,-3.84
1783235403.3206246,-3.84
1783235403.330558,-3.84
1783235403.3462052,-3.84
1783235403.350634,-3.84
1783235403.3605576,-3.84
1783235403.3705647,-3.84
1783235403.380553,-3.84
1783235403.3906038,-3.84
1783235403.4006305,-3.84
1783235403.4106903,-3.84
1783235403.4206345,-3.84
1783235403.4306476,-3.84
1783235403.44074,-3.84
1783235403.4508195,-3.84
1783235403.4607604,-3.84
1783235403.4706645,-3.84
1783235403.4807312,-3.84
1783235403.4905987,-3.84
1783235403.5006423,-3.84
1783235403.5106752,-3.84
1783235403.5205953,-3.84
1783235403.5305245,-3.84
1783235403.5406394,-3.84
1783235403.5507443,-3.84
1783235403.5606868,-3.84
1783235403.570643,-3.84
1783235403.5806565,-3.84
1783235403.5906281,-3.84
1783235403.6007674,-3.84
1783235403.6106627,-3.84
1783235403.6206741,-3.84
1783235403.6306078,-3.84
1783235403.6406589,-3.84
1783235403.6506143,-3.84
1783235403.6606638,-3.84
1783235403.6706471,-3.84
1783235403.6806538,-3.84
1783235403.690603,-3.84
1783235403.7005987,-3.84
1783235403.7106802,-3.84
1783235403.7206576,-3.84
1783235403.7306159,-3.84
1783235403.7405663,-3.84
1783235403.7505445,-3.84
1783235403.760622,-3.84
1783235403.770781,-3.84
1783235403.7807806,-3.84
1783235403.790615,-3.84
1783235403.8007824,-3.84
1783235403.8107088,-3.84
1783235403.8205988,-3.84
1783235403.8306215,-3.84
1783235403.8406692,-3.84
1783235403.8506382,-3.84
1783235403.8606603,-3.84
1783235403.8706603,-3.84
1783235403.8806431,-3.84
1783235403.8906748,-3.84
1783235403.9006598,-3.84
1783235403.9106185,-3.84
1783235403.9206476,-3.84
1783235403.9306507,-3.84
1783235403.9407427,-3.84
1783235403.9507725,-3.84
1783235403.960666,-3.84
1783235403.970648,-3.84
1783235403.9807098,-3.84
1783235403.9906235,-3.84
1783235404.0007799,-3.84
1783235404.01066,-3.84
1783235404.0261667,-3.84
1783235404.0361774,-3.84
1783235404.0461552,-3.84
1783235404.0561361,-3.84
1783235404.060564,-3.84
1783235404.0706306,-3.84
1783235404.0806282,-3.84
1783235404.0906868,-3.84
1783235404.1006317,-3.84
1783235404.1106749,-3.84
1783235404.120623,-3.84
1783235404.1306806,-3.84
1783235404.1406534,-3.84
1783235404.1507053,-3.84
1783235404.160589,-3.84
1783235404.1706808,-3.84
1783235404.180686,-3.84
1783235404.1906679,-3.84
1783235404.2007632,-3.84
1783235404.2162025,-3.84
1783235404.2206838,-3.84
1783235404.2306783,-3.84
1783235404.2406402,-3.84
1783235404.2506137,-3.84
1783235404.2661679,-3.84
1783235404.2706542,-3.84
1783235404.2806494,-3.84
1783235404.2906258,-3.84
1783235404.300704,-3.84
1783235404.310665,-3.84
1783235404.3207974,-3.84
1783235404.3306386,-3.84
1783235404.340739,-3.84
1783235404.3507268,-3.84
1783235404.360699,-3.84
1783235404.3706768,-3.84
1783235404.3807034,-3.84
1783235404.3906224,-3.84
1783235404.4006295,-3.84
1783235404.4106953,-3.84
1783235404.4209285,-3.84
1783235404.4361913,-3.84
1783235404.440765,-3.84
1783235404.4506624,-3.84
1783235404.460667,-3.84
1783235404.4707983,-3.84
1783235404.4806418,-3.84
1783235404.490641,-3.84
1783235404.516186,-3.84
1783235404.52059,-3.84
1783235404.5305784,-3.84
1783235404.5406036,-3.84
1783235404.5505533,-3.84
1783235404.560646,-3.84
1783235404.570584,-3.84
1783235404.5706573,-3.84
1783235404.5905852,-3.84
1783235404.6006098,-3.84
1783235404.6006923,-3.84
1783235404.6206594,-3.84
1783235404.6306334,-3.84
1783235404.640782,-3.84
1783235404.6506002,-3.84
1783235404.6606266,-3.84
1783235404.6707647,-3.84
1783235404.680612,-3.84
1783235404.6906524,-3.84
1783235404.700771,-3.84
1783235404.700849,-3.84
1783235404.7308352,-3.84
1783235404.7405944,-3.84
1783235404.7406688,-3.84
1783235404.7606878,-3.84
1783235404.770641,-3.84
1783235404.7806933,-3.84
1783235404.790914,-3.84
1783235404.8006878,-3.84
1783235404.8107176,-3.84
1783235404.8206131,-3.84
1783235404.8307273,-3.84
1783235404.840685,-3.84
1783235404.8510044,-3.84
