time_sec,raw_deg
1783235097.1244898,30.09
1783235097.1344335,30.09
1783235097.144301,30.09
1783235097.1544816,30.09
1783235097.1645007,30.09
1783235097.1744523,30.09
1783235097.1845343,30.09
1783235097.1944177,30.09
1783235097.2044358,30.09
1783235097.2203069,30.09
1783235097.235497,30.09
1783235097.2444324,30.09
1783235097.2545712,30.09
1783235097.2643917,30.09
1783235097.2744803,30.09
1783235097.2844985,30.09
1783235097.2943003,30.09
1783235097.3043478,30.09
1783235097.314345,30.09
1783235097.3300688,30.09
1783235097.3343725,30.09
1783235097.3442905,30.09
1783235097.354327,30.09
1783235097.3642685,30.09
1783235097.3743355,30.09
1783235097.384414,30.09
1783235097.394418,30.09
1783235097.41038,30.09
1783235097.4143174,30.09
1783235097.4243202,30.09
1783235097.4345849,30.09
1783235097.4442973,30.09
1783235097.4543688,30.09
1783235097.4643252,30.09
1783235097.4743326,30.09
1783235097.484348,30.09
1783235097.494395,30.09
1783235097.5043728,30.09
1783235097.5143995,30.09
1783235097.524314,30.09
1783235097.5343122,30.09
1783235097.5343933,30.09
1783235097.5443537,30.09
1783235097.554328,30.09
1783235097.5643222,30.09
1783235097.574348,30.09
1783235097.5843446,30.09
1783235097.5943568,30.09
1783235097.6043983,30.09
1783235097.614309,30.09
1783235097.6243038,30.09
1783235097.6344564,30.09
1783235097.6445246,30.09
1783235097.6546195,30.09
1783235097.6643689,30.09
1783235097.674392,30.09
1783235097.6844416,30.09
1783235097.6944337,30.09
1783235097.7043679,30.09
1783235097.7144468,30.09
1783235097.724354,30.09
1783235097.7344236,30.09
1783235097.7443562,30.09
1783235097.7544928,30.09
1783235097.7644136,30.09
1783235097.774333,30.09
1783235097.7845154,30.09
1783235097.7943754,30.09
1783235097.8043842,30.09
1783235097.8143735,30.09
1783235097.824403,30.09
1783235097.8344228,30.09
1783235097.8443933,30.09
1783235097.8545053,30.09
1783235097.8644066,30.09
1783235097.8800886,30.09
1783235097.8844821,30.09
1783235097.894515,30.09
1783235097.904503,30.09
1783235097.914412,30.09
1783235097.9244192,30.09
1783235097.934361,30.09
1783235097.9444816,30.09
1783235097.9543433,30.09
1783235097.9643166,30.09
1783235097.974542,30.09
1783235097.984423,30.09
1783235097.9946558,30.09
1783235098.0045433,30.09
1783235098.014478,30.09
1783235098.0244753,30.09
1783235098.034413,30.09
1783235098.044514,30.09
1783235098.0544631,30.09
1783235098.0646644,30.09
1783235098.074449,30.09
1783235098.0843985,30.09
1783235098.0943801,30.09
1783235098.1044288,30.09
1783235098.1143858,30.09
1783235098.124391,30.09
1783235098.1344652,30.09
1783235098.1443853,30.09
1783235098.1544578,30.09
1783235098.1643925,30.09
1783235098.1743715,30.09
1783235098.1844501,30.09
1783235098.1943564,30.09
1783235098.2043746,30.09
1783235098.2143912,30.09
1783235098.2243977,30.09
1783235098.234375,30.09
1783235098.2443988,30.09
1783235098.254393,30.09
1783235098.2646482,30.09
1783235098.2747498,30.09
1783235098.284494,30.09
1783235098.2944436,30.09
1783235098.3044546,30.09
1783235098.3144448,30.09
1783235098.3244295,30.09
1783235098.334482,30.09
1783235098.3445919,30.09
1783235098.3544724,30.09
1783235098.3644865,30.09
1783235098.3745122,30.09
1783235098.3846624,30.09
1783235098.394529,30.09
1783235098.4046657,30.09
1783235098.4145064,30.09
1783235098.4245052,30.09
1783235098.4345713,30.09
1783235098.4445012,30.09
1783235098.4544795,30.09
1783235098.4645607,30.09
1783235098.4744737,30.09
1783235098.4847033,30.09
1783235098.49449,30.09
1783235098.5045013,30.09
1783235098.514534,30.09
1783235098.5244935,30.09
1783235098.5345595,30.09
1783235098.5445096,30.09
1783235098.5544882,30.09
1783235098.5645776,30.09
1783235098.5744417,30.09
1783235098.5845706,30.09
1783235098.6001709,30.09
1783235098.6044774,30.09
1783235098.6145406,30.09
1783235098.62455,30.09
1783235098.6345506,30.09
1783235098.6445873,30.09
1783235098.654603,30.09
1783235098.6645947,30.09
1783235098.6745486,30.09
1783235098.684595,30.09
1783235098.6946142,30.09
1783235098.7045963,30.09
1783235098.714629,30.09
1783235098.724568,30.09
1783235098.7346113,30.09
1783235098.7445884,30.09
1783235098.7546916,30.09
1783235098.7645879,30.09
1783235098.7802799,30.09
1783235098.7848353,30.09
1783235098.7946956,30.09
1783235098.804585,30.09
1783235098.8146067,30.09
1783235098.8246138,30.09
1783235098.8402815,30.09
1783235098.8445303,30.09
1783235098.8602667,30.09
1783235098.8645837,30.09
1783235098.8745859,30.09
1783235098.8847728,30.09
1783235098.8947225,30.09
1783235098.904706,30.09
1783235098.9145322,30.09
1783235098.9244833,30.09
1783235098.9346151,30.09
1783235098.9445891,30.09
1783235098.9546378,30.09
1783235098.9646163,30.09
1783235098.9746192,30.09
1783235098.9845726,30.09
1783235098.9945636,30.09
